date,fch4_mean,fch4_n,fch4_sd,fch4_se,frac_site_aggregated,frac_tga100a,frac_li7700,n_analyzers,is_mixed
2009-04-24,13.736333333333334,15,2.744079566387729,0.7085182974191829,1.0,0.0,0.0,1,False
2009-04-25,11.766314285714286,35,4.915837130381456,0.8309281332588617,1.0,0.0,0.0,1,False
2009-04-26,8.835727272727272,11,4.992036680372232,1.5051556916805473,1.0,0.0,0.0,1,False
2009-04-30,21.073,17,10.432621578491188,2.530282395306895,1.0,0.0,0.0,1,False
2009-05-01,15.824027027027029,37,5.680665642170655,0.9338956787931928,1.0,0.0,0.0,1,False
2009-05-02,18.873620689655173,29,6.957039853957762,1.2918898683919142,1.0,0.0,0.0,1,False
2009-05-03,17.093999999999998,24,5.717439887708941,1.167067529993538,1.0,0.0,0.0,1,False
2009-05-07,24.45,24,7.689218878177533,1.5695552310092202,1.0,0.0,0.0,1,False
2009-05-08,20.206090909090907,44,4.382150877950774,0.6606341016767826,1.0,0.0,0.0,1,False
2009-05-09,18.863599999999998,40,4.790000775119042,0.7573656221674083,1.0,0.0,0.0,1,False
2009-05-10,20.6745,34,5.124790906303723,0.8788943895822839,1.0,0.0,0.0,1,False
2009-05-13,15.987749999999998,8,17.094589517906368,6.043850084856033,1.0,0.0,0.0,1,False
2009-05-14,23.72446153846154,26,7.57821856760951,1.4862109367120022,1.0,0.0,0.0,1,False
2009-05-16,21.568631578947368,38,11.82710329485136,1.9186095043511118,1.0,0.0,0.0,1,False
2009-05-17,21.914,9,6.995489922085515,2.331829974028505,1.0,0.0,0.0,1,False
2009-05-18,24.2865,24,9.673388444593755,1.9745721477491438,1.0,0.0,0.0,1,False
2009-05-19,21.506962962962962,27,6.750764477971148,1.299185229530802,1.0,0.0,0.0,1,False
2009-05-21,32.058125,32,10.264366648437129,1.814500815423732,1.0,0.0,0.0,1,False
2009-05-23,29.046325000000003,40,4.890062552101102,0.7731867782667643,1.0,0.0,0.0,1,False
2009-05-27,25.181172413793103,29,4.878478642165913,0.905910741246524,1.0,0.0,0.0,1,False
2009-05-29,31.423655172413792,29,5.661911068559437,1.0513904906045377,1.0,0.0,0.0,1,False
2009-05-30,33.297225,40,6.143901076291544,0.9714360559920605,1.0,0.0,0.0,1,False
2009-05-31,23.580090909090906,11,5.431092016428104,1.6375358563987952,1.0,0.0,0.0,1,False
2009-06-01,32.03055,20,6.567418314159521,1.4685193787137758,1.0,0.0,0.0,1,False
2009-06-02,37.54992307692308,13,4.493082877445033,1.2461569768874885,1.0,0.0,0.0,1,False
2009-06-06,28.609666666666666,21,5.806650982565882,1.267115126752279,1.0,0.0,0.0,1,False
2009-06-07,29.39238888888889,36,8.05018493941165,1.3416974899019418,1.0,0.0,0.0,1,False
2009-06-08,27.622633333333333,30,5.022205906896328,0.916925154547603,1.0,0.0,0.0,1,False
2009-06-09,35.292125,24,6.285895234311428,1.2831029917212922,1.0,0.0,0.0,1,False
2009-06-10,38.85381081081081,37,7.709066710474529,1.2673627602714546,1.0,0.0,0.0,1,False
2009-06-11,33.030647058823526,17,7.770753156396558,1.8846844737896964,1.0,0.0,0.0,1,False
2009-06-12,43.5795,10,11.223151956261368,3.549072270796037,1.0,0.0,0.0,1,False
2009-06-13,40.554809523809524,21,7.868493875063052,1.7170461327510875,1.0,0.0,0.0,1,False
2009-06-14,36.13452,25,7.361056656033379,1.4722113312066758,1.0,0.0,0.0,1,False
2009-06-16,49.61913333333334,15,31.84983496226958,8.22359202588832,1.0,0.0,0.0,1,False
2009-06-19,54.56135294117647,17,7.406348357500278,1.796303328123148,1.0,0.0,0.0,1,False
2009-06-20,53.70124324324324,37,14.307745377951772,2.352178850758178,1.0,0.0,0.0,1,False
2009-06-21,47.25588888888889,9,11.733896235313793,3.9112987451045975,1.0,0.0,0.0,1,False
2009-06-22,43.9768125,16,9.894094812690044,2.473523703172511,1.0,0.0,0.0,1,False
2009-06-23,48.79092307692308,13,17.793062292466402,4.934907572539419,1.0,0.0,0.0,1,False
2009-06-24,60.26552941176471,17,29.41633271483218,7.134508641268552,1.0,0.0,0.0,1,False
2009-06-25,63.27161538461538,26,19.107304810625536,3.747250772367112,1.0,0.0,0.0,1,False
2009-06-27,67.44513043478261,23,10.680431755421377,2.227023969358263,1.0,0.0,0.0,1,False
2009-06-28,66.35244680851063,47,15.030159218122378,2.192374046563422,1.0,0.0,0.0,1,False
2009-06-29,66.8497659574468,47,7.494282163068421,1.093153403998798,1.0,0.0,0.0,1,False
2009-06-30,61.888020833333336,48,7.222822909831781,1.0425246878250938,1.0,0.0,0.0,1,False
2009-07-01,59.708468085106375,47,8.938489136146151,1.3038126418479812,1.0,0.0,0.0,1,False
2009-07-02,60.6893,40,13.724333707053473,2.1700076941255535,1.0,0.0,0.0,1,False
2009-07-03,52.24676923076923,26,34.59779897543506,6.785186619350148,1.0,0.0,0.0,1,False
2009-07-04,60.769,25,16.35894317593082,3.2717886351861636,1.0,0.0,0.0,1,False
2009-07-05,73.80041666666666,24,7.198788321453925,1.4694465128223937,1.0,0.0,0.0,1,False
2009-07-06,71.40333333333334,24,6.29236302241035,1.2844232234385258,1.0,0.0,0.0,1,False
2009-07-07,49.26713043478261,23,9.960574081229856,2.0769232682197294,1.0,0.0,0.0,1,False
2009-07-10,69.06378787878788,33,8.706785933819006,1.5156568862672544,1.0,0.0,0.0,1,False
2009-07-11,66.64714634146341,41,10.539112340612405,1.6459328212000714,1.0,0.0,0.0,1,False
2009-07-12,59.09821212121212,33,16.627204377836595,2.894424763190112,1.0,0.0,0.0,1,False
2009-07-13,46.52065217391304,23,14.896816653868447,3.1062009958970527,1.0,0.0,0.0,1,False
2009-07-15,56.42771052631579,38,7.760289385478656,1.2588851724983197,1.0,0.0,0.0,1,False
2009-07-16,53.23133333333333,36,7.728567218905641,1.2880945364842735,1.0,0.0,0.0,1,False
2009-07-17,52.67919444444445,36,7.668168955659473,1.2780281592765788,1.0,0.0,0.0,1,False
2009-07-18,54.918052631578945,38,5.51832270809424,0.8951901519652057,1.0,0.0,0.0,1,False
2009-07-19,42.11325,8,6.97709529716445,2.466775698804876,1.0,0.0,0.0,1,False
2009-07-22,35.568,8,21.662927153483732,7.65900134528927,1.0,0.0,0.0,1,False
2009-07-24,58.640342857142855,35,6.012122273534756,1.0162341438851963,1.0,0.0,0.0,1,False
2009-07-25,58.50394736842105,38,6.116333860168763,0.9922003709067795,1.0,0.0,0.0,1,False
2009-07-26,60.234719999999996,25,11.229526735797908,2.2459053471595816,1.0,0.0,0.0,1,False
2009-07-27,62.47634482758621,29,8.510815007455689,1.5804186709718124,1.0,0.0,0.0,1,False
2009-07-28,63.585,40,8.623043242917825,1.3634228504872468,1.0,0.0,0.0,1,False
2009-07-29,65.5151875,32,7.462819161327534,1.3192525089359006,1.0,0.0,0.0,1,False
2009-07-30,61.759566666666665,30,13.102670961410443,2.392209483044134,1.0,0.0,0.0,1,False
2009-08-01,68.02502702702702,37,7.3609541179813816,1.2101334025973387,1.0,0.0,0.0,1,False
2009-08-03,69.25264705882353,34,18.998709949637256,3.2582518758956946,1.0,0.0,0.0,1,False
2009-08-04,92.8081724137931,29,114.89817602557896,21.33605565299632,1.0,0.0,0.0,1,False
2009-08-05,70.69095833333334,24,10.912080487395874,2.2274191021917216,1.0,0.0,0.0,1,False
2009-08-06,78.38575,20,66.87731393960374,14.95422201215482,1.0,0.0,0.0,1,False
2009-08-08,46.42195454545455,22,12.03783766169257,2.5664756128454025,1.0,0.0,0.0,1,False
2009-08-09,67.77902702702703,37,9.440018989759878,1.551929562059866,1.0,0.0,0.0,1,False
