date,FC_mean,FC_n,FC_sd,FC_se
2009-01-01,-0.023807250000000002,16,0.23672859578048447,0.05918214894512112
2009-01-02,-0.4322423902439025,41,0.5417811504758576,0.08461200039015164
2009-01-04,0.25432304,25,0.24969239022303022,0.04993847804460604
2009-01-06,-0.9606651666666667,12,1.3575316973850895,0.39188564545936555
2009-01-07,0.04059995238095239,42,0.2611827071063709,0.0403013666586809
2009-01-08,0.2243869,20,0.7179587560230741,0.16054045835087802
2009-01-09,-0.14061561538461537,13,0.6127473774447534,0.16994554525254962
2009-01-11,0.007246166666666665,18,0.22298519303947725,0.05255811403413524
2009-01-12,0.03395118181818181,33,0.23609880466971003,0.04109952649084529
2009-01-13,0.042432222222222205,9,0.4634897459509697,0.15449658198365657
2009-01-14,-0.092889,26,0.33044767730955527,0.06480612133933977
2009-01-15,0.03223,21,0.1692089844420207,0.036924427593912616
2009-01-17,-0.24560423529411762,17,0.21261704113221072,0.051567206964376444
2009-01-18,-0.0025308499999999986,20,0.12456094561985775,0.02785267417476566
2009-01-19,-0.09818156,25,0.3941292613349373,0.07882585226698746
2009-01-21,0.14109778947368423,19,0.3031537586017988,0.06954824200525078
2009-01-23,-0.16051363636363636,22,0.2083244257968224,0.04441491681425374
2009-01-24,0.20890176,25,0.12820717244408233,0.025641434488816468
2009-01-25,0.09180754166666666,24,0.2583806915662606,0.05274173781039828
2009-01-29,-0.24748255263157895,38,0.33993637158418555,0.055144961292421545
2009-01-31,-0.12953858333333335,12,0.7564168942409829,0.2183587487548061
2009-02-01,0.13787458536585367,41,0.12386898389184751,0.019345085195708975
2009-02-02,-0.10846504761904763,42,0.258193927922117,0.03984018801825355
2009-02-03,-0.058332999999999996,31,0.2913152096522482,0.0523217562145853
2009-02-07,0.1110725,18,0.22490264271176383,0.05301006125608783
2009-02-12,0.20806706666666666,30,0.1442208035827854,0.026330995794604482
2009-02-13,0.10982674285714285,35,0.20044087056482485,0.03388069091586992
2009-02-14,-0.224528,32,0.4255026798719293,0.07521895758762247
2009-02-16,0.23152641666666665,12,0.44529931693769104,0.1285468402519662
2009-02-17,-0.15556124000000002,25,0.4285942339048944,0.08571884678097888
2009-02-18,0.1288953404255319,47,0.26133260672970465,0.038119278458750995
2009-02-19,-0.048122500000000006,28,0.47817330199071517,0.09036626004700135
2009-02-21,-0.19891453846153845,26,0.2870701577792064,0.05629908985716666
2009-02-22,-0.05768446428571428,28,0.43161134975100873,0.08156687817672063
2009-02-26,0.05292218918918919,37,0.3034771635166345,0.04989133835243704
2009-02-27,-0.06254832,25,0.2959386388728132,0.05918772777456264
2009-02-28,-0.02799675,24,0.1407359606791477,0.02872760767702575
2009-03-01,-0.30879724999999997,20,0.5663783733948139,0.1266460543896562
2009-03-06,0.20675194444444445,36,0.21622313380579064,0.03603718896763177
2009-03-07,-0.3624248148148148,27,0.6630137801214435,0.1275970614765156
2009-03-08,0.1343772,10,1.2863112219470234,0.4067673241186962
2009-03-09,1.5033607272727274,11,4.330310209086298,1.3056376535804266
2009-03-10,-0.044081312500000004,32,0.6675193541372192,0.11800186547092303
2009-03-11,-0.3106833333333333,42,0.32833258762149636,0.05066281817171896
2009-03-17,0.19933929411764706,34,0.4071563170199429,0.06982673230075499
2009-03-18,-0.13902721739130436,46,0.3888326930248143,0.05733025287655525
2009-03-19,-0.339795347826087,23,0.4212425973950714,0.08783515337171358
2009-03-21,-0.3729266153846154,13,0.6542449192634894,0.18145489254740838
2009-03-22,0.256565375,8,1.1778384257991947,0.4164287690123494
2009-03-26,-0.28215740476190476,42,0.28256075635456074,0.04360007127333117
2009-03-27,-0.7567450882352942,34,0.48743480054218336,0.08359437864220544
2009-03-28,-1.0187671999999999,10,0.7553607767010411,0.23886605095291377
2009-03-29,-0.9705641428571429,21,0.39728731660440486,0.08669520004693197
2009-03-30,-0.9958249285714286,28,0.6534480175027628,0.12349006778717801
2009-03-31,-0.34605606666666666,15,1.0903941192442737,0.28153855097570507
2009-04-02,-0.021223346153846155,26,0.30345043358109636,0.059511526239930834
2009-04-03,-0.07252922580645162,31,0.25853151569002303,0.04643363095894648
2009-04-04,-0.20017338461538461,39,0.23502727485253994,0.037634483615978
2009-04-05,-0.2470781219512195,41,0.33495298327214484,0.0523108674534222
2009-04-06,0.0040598,15,0.06995015415504305,0.018061052140474883
2009-04-07,-0.5192981860465117,43,0.507831175378677,0.07744352821557446
2009-04-08,-0.48560675555555555,45,0.5179219029233847,0.07720723879818235
2009-04-09,-0.5988066976744186,43,0.6726535905613831,0.10257871088970415
2009-04-10,-0.7156885277777778,36,0.6769790039077804,0.11282983398463008
2009-04-17,-0.2604996086956522,23,0.6687092616174658,0.13943551986070502
2009-04-18,-0.6575215897435898,39,0.8282115213478065,0.13261998187352678
2009-04-19,-1.14804275,12,0.3808135931366672,0.10993141525426171
2009-04-20,-0.8795242222222223,27,1.142301787503478,0.21983608150364123
2009-04-21,-0.6251604146341463,41,0.9644725282534226,0.1506253029755519
2009-04-22,-0.7833622142857143,28,1.1008479934095035,0.20804071584614411
2009-04-24,0.2399509333333333,15,0.6624393719716616,0.17104111036788971
2009-04-25,-1.2371753333333333,33,1.0830239132227086,0.18853026415777624
2009-04-26,-0.9171221111111111,9,1.2014357910701516,0.4004785970233839
2009-04-30,-0.8843079285714286,14,0.888608028368177,0.23749048523502983
2009-05-01,-1.1056634545454544,33,1.223053562820127,0.21290629732399252
2009-05-02,-1.0689303793103448,29,1.028431960728093,0.19097502073949174
2009-05-03,-1.5741185416666665,24,0.9877669618352375,0.2016270867729598
2009-05-06,-0.8516561111111112,9,1.064493511007517,0.35483117033583905
2009-05-07,-0.7910210882352942,34,1.3308342703224956,0.22823619441947113
2009-05-08,-0.711881075,40,1.2825244340829989,0.202784918326038
2009-05-09,-1.1601322631578947,38,1.4041028597924299,0.2277755613292958
2009-05-10,-1.9297012857142857,28,1.2642731717038012,0.23892517154136572
