month,fco2_mean,fco2_days,fco2_sd_across_days,fco2_halfhours,fco2_se_across_days
2009-01,-0.06938544217568937,21,0.2649563573525572,478,0.0578182173060887
2009-02,0.0023769363002969094,16,0.14125982550201455,481,0.03531495637550364
2009-03,-0.21930312119487627,18,0.5892860801000248,452,0.13889606109918887
2009-04,-0.526795246570791,19,0.4094638346640544,560,0.0939374461229084
2009-05,-1.4259437270925936,21,0.7066553958017959,519,0.15420484959574807
2009-06,-2.446789848128872,20,1.3815834493008745,408,0.30893145092253893
2009-07,-3.869617811676338,23,1.5249725298730645,647,0.317978753519617
2009-08,-3.2060611081075523,19,2.6892167297439897,418,0.6169486295912096
2009-09,-2.1133460238126003,13,1.4057899612076605,217,0.3898959836666733
2009-10,-0.4819987037823134,21,0.7295448630210766,473,0.1591997408409654
2009-11,-0.4038999488007889,12,0.6070782937419017,264,0.17524840815553283
2009-12,-0.3410267538987473,27,0.23006098862486066,771,0.04427525790419824
2010-01,-0.14755297326723535,17,0.14988122056057732,434,0.036351535509868096
2010-02,-0.26593424021602824,23,0.27207052930877273,616,0.056730627001016935
2010-03,-0.4835920862311224,21,0.3534551729507088,521,0.07713024213430147
2010-04,-1.0221043381456003,24,0.49807428807910864,566,0.10166898831615087
2010-05,-1.2356235733916383,18,0.9025543718798431,309,0.21273410558193404
2010-06,-2.780610639374895,18,1.4142859039487923,290,0.33335038440624576
2010-07,-3.6796144981029864,21,1.6688405370870298,422,0.36417086114343206
2010-08,-3.058659965863086,14,1.2705548278169552,380,0.33957006120018596
2010-09,-1.734099705451533,24,1.5025104826490203,552,0.30669866797274814
2010-10,-0.7066618066174983,20,0.5543927387917907,533,0.12396598501707287
2010-11,-0.15034091535025806,20,0.3106366889293472,496,0.06946047527514766
2010-12,-0.041261449979151675,17,0.2160556679982928,389,0.052401196480608384
2011-01,-0.0030157191654237026,22,0.2100066598276493,532,0.044773570314703824
2011-02,-0.060721136955395806,19,0.2715411618146208,578,0.062295814913766186
2011-03,-0.38212631076268494,22,0.36468740180951364,517,0.07775161531165464
2011-04,-0.7944803929748299,17,0.5244367281085066,439,0.12719458964380606
2011-05,-1.5454127865160892,18,1.1599298562942302,416,0.2733980890287959
2011-06,-2.8174114374566432,15,2.0721971466535125,325,0.5350390026031722
2011-07,-4.0658166401369975,23,1.5418544036312316,489,0.32149886753448675
2011-08,-4.239183525077378,19,1.8540851917528651,374,0.42535631492452475
2011-09,-2.837130237879475,19,1.549302826294083,428,0.3554344448819925
2011-10,-0.9020771405214949,18,0.954252259855549,435,0.22491941463548207
2011-11,-0.27324389339082594,19,0.30874217328426523,471,0.07083031226080184
2011-12,-0.2835843874200874,22,0.23722264742756483,570,0.050576038367331225
2012-01,-0.31527312596744556,23,0.343640922616119,632,0.07165408562533263
2012-02,-0.3261450397529844,23,0.26156578759433824,561,0.05454023693761072
2012-03,-0.4529042989971543,12,0.4280376078810935,254,0.12356381406671642
2012-04,-0.9057888125137117,21,0.5817428911307486,476,0.12694670636233857
2012-05,-1.6023791588630096,22,0.7668396530605794,413,0.1634907633624033
2012-06,-3.0025696363699574,17,1.3945959755183999,341,0.3382392065955096
2012-07,-2.407105307398602,17,0.9507100825084395,379,0.23058106408952805
2012-08,-3.363121999976753,21,0.886167731347223,439,0.1933776527298067
2012-09,-1.44863068777253,23,1.1241224132929077,466,0.23439572633619551
2012-10,-0.424435326011208,10,0.9440797476193282,176,0.2985442295314003
2012-11,-0.4270388889007422,16,0.30633653832873003,410,0.07658413458218251
2012-12,-0.25132844283560696,20,0.17187447479145035,452,0.038432300923075695
2013-01,-0.15122451232321488,20,0.1923336761934178,519,0.04300711743309151
2013-02,-0.22220315823409917,21,0.19893200296291325,449,0.04341052198698712
2013-03,-0.19055754868813718,19,0.18500866500923802,513,0.04244389865550726
2013-04,-0.09896970432641726,23,0.18037678170364876,566,0.03761115894643721
2013-05,-0.6373519516973555,14,0.49694968728810635,388,0.13281539059261024
2013-06,-3.675448323960851,14,1.2544477625386572,251,0.3352652669303436
2013-07,-4.297551388783522,21,1.654951692088432,466,0.3611400666900233
2013-08,-4.095612029669667,21,2.181801806977152,387,0.47610818723163
2013-09,-2.8791239125857726,7,2.1478585596050115,181,0.811814228579466
2013-10,-1.0901697677306312,16,1.0698351420057521,360,0.26745878550143803
2013-11,-0.3462869277836389,14,0.40668551946159986,356,0.10869127699910662
2013-12,-0.26324931552821507,9,0.3089691791275323,251,0.1029897263758441
2014-01,-0.2266955767077422,22,0.21612190814549112,605,0.04607734563676014
2014-02,-0.190359271033201,21,0.27442494496539815,581,0.059884432518477505
2014-03,-0.13012071531852504,8,0.33690500886979025,201,0.11911390819377131
2014-04,-1.0685351577088875,11,0.2926234779996592,271,0.08822929830669889
2014-05,-1.2451540377355401,12,0.8034833765707151,325,0.23194567187624593
2014-06,-3.145086798891489,9,1.6284605169289577,183,0.5428201723096525
2014-07,-4.415958030137732,23,1.2807075395171605,539,0.2670459821808987
2014-08,-3.7615090259602737,22,1.9125628136096717,437,0.40775976193668384
2014-09,-2.424059187876431,19,1.568626738640734,411,0.35986765441424984
2014-10,-0.5287523367372102,21,0.9967460638791088,550,0.21750782316072884
2014-11,-0.32890956952018485,9,0.2527836328505771,333,0.08426121095019236
2014-12,-0.28135870537233965,9,0.1895200633560049,281,0.06317335445200163
2015-01,-0.494242316584687,4,0.3421986894314324,106,0.1710993447157162
2015-02,-0.6491793973906091,19,0.35175618288273175,584,0.08069840283954943
2015-03,-0.4716982791840885,23,0.37695499416112965,562,0.07860054973339599
2015-04,-0.6852787182230606,25,0.46781699938095533,659,0.09356339987619107
2015-05,-0.9437529472381958,18,0.3154919791072415,418,0.07436217261223169
2015-06,-1.9550349585074505,22,1.0339670470778177,431,0.22044251512508592
2015-07,-2.115096083548299,20,1.2472890652956914,558,0.27890231375933394
2015-08,-2.3012439270708898,18,1.3049068437210534,397,0.30756949267063044
2015-09,-1.3139658246235633,21,1.1749115614866992,398,0.25638672216150293
2015-10,-0.5917614801289505,21,0.7199035934290978,473,0.15709584333140736
2015-11,-0.33217722765852187,18,0.3671993847675585,436,0.08654972500555629
2015-12,-0.3982713135353535,3,0.1564498619813591,68,0.09032636992961748
2016-01,-0.05598664370010638,10,0.20766920348363188,228,0.06567076828812504
2016-02,0.11709418887560492,14,0.16795375610059013,368,0.04488752943930014
2016-03,-0.4940704959787256,21,0.27341649835746173,473,0.05966437142727798
2016-04,-0.745037570277293,19,0.4602271285751474,462,0.10558334444920882
2016-05,-1.1247932305629171,18,0.5295618853906913,440,0.12481893340589705
2016-06,-2.2366465875409904,22,1.627948449412227,479,0.347079775604692
2016-07,-3.178931387431642,25,1.6070777808827297,503,0.32141555617654594
2016-08,-3.4350285470574846,22,1.0591608718787833,488,0.2258138566203895
2016-09,-1.6186630931877901,21,1.1945587690059531,501,0.26067409433538324
2016-10,-0.862335935519916,22,1.1543350171884508,456,0.24610505257894358
2016-11,-0.30593473106193736,16,0.8209632998391355,297,0.20524082495978388
2016-12,0.12250315859515283,19,0.22395918633331638,488,0.05137976108971166
2017-01,-0.0611860510402644,21,0.1589073546276533,579,0.03467642766982916
2017-02,-0.010845609386128177,24,0.16049090262547838,693,0.03276006831592693
2017-03,-0.32599103407554425,21,0.20236092327886607,590,0.04415877374412167
2017-04,-0.5024002761454353,24,0.29772438079382557,637,0.060772734744245736
2017-05,-1.3493153659455739,18,0.8403478573273078,419,0.19807188949057492
2017-06,-2.5161911261767282,22,1.029048777868007,533,0.21939393660632453
2017-07,-2.723985247911658,25,1.1135501247301254,559,0.22271002494602507
2017-08,-2.7062692931930568,29,1.3060453946069592,534,0.24252654122612047
2017-09,-1.372688523475799,22,1.4342529407825908,471,0.3057837544099893
2017-10,-0.7233124745199615,20,0.7860707035732197,459,0.1757707528310806
2017-11,-0.13137738234921498,20,0.2839783706958972,585,0.06349949410156604
2017-12,-0.474060985264908,28,0.35361655372890605,728,0.06682724718874253
2018-01,-0.28043189084524367,24,0.2551690861038128,633,0.05208617159055392
2018-02,-0.3872429568364122,20,0.299791192234103,501,0.06703534848911613
2018-03,-0.4128199348669547,25,0.3435598285159156,706,0.06871196570318312
2018-04,-0.3597377083313138,26,0.3831619822488052,743,0.07514424709052116
2018-05,-1.1825403318339953,26,0.7374392512745712,597,0.14462373585916508
2018-06,-2.1397799846879395,24,0.8615012680796796,538,0.1758532099629897
2018-07,-2.650504954891978,24,1.0337341293929765,491,0.21101009555941622
2018-08,-2.718099191178225,23,1.1296365218013844,482,0.23554549744088765
2018-09,-1.4786616222206186,22,1.6258925806893223,446,0.3466414629202356
2018-10,-0.6561948203809809,14,0.44209526548873607,325,0.11815492969812258
2018-11,-0.5920888707780064,23,0.29442712507295976,579,0.061392299467097275
2018-12,-0.3442808858481456,20,0.282731141925642,498,0.06322060527018764
2019-01,-0.277861911023549,21,0.27175140936627046,496,0.05930101922056504
2019-02,-0.25771297473358273,14,0.317717964001398,299,0.08491369763690058
2019-03,-0.18029053779021584,24,0.26898987066044366,588,0.05490732742461088
2019-04,-0.7036195163195998,25,0.5093285083229617,601,0.10186570166459234
2019-05,-1.7703636285628261,26,0.786324656465871,587,0.1542109525899469
